[I 260121 09:49:15 consumers:62] SmartAPI WebSocket Opened
[I 260121 09:49:58 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2278134, 'exchange_timestamp': 1768969199000, 'last_traded_price': 5919745, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:59 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2278581, 'exchange_timestamp': 1768969199000, 'last_traded_price': 5919135, 'subscription_mode_val': 'LTP'}
[I 260121 09:49:59 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2278828, 'exchange_timestamp': 1768969200000, 'last_traded_price': 5919345, 'subscription_mode_val': 'LTP'}
[I 260121 09:50:00 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2279275, 'exchange_timestamp': 1768969200000, 'last_traded_price': 5919425, 'subscription_mode_val': 'LTP'}
[I 260121 09:50:00 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2279509, 'exchange_timestamp': 1768969201000, 'last_traded_price': 5918810, 'subscription_mode_val': 'LTP'}
[I 260121 09:50:01 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2279958, 'exchange_timestamp': 1768969201000, 'last_traded_price': 5919455, 'subscription_mode_val': 'LTP'}
[I 260121 09:50:01 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2280191, 'exchange_timestamp': 1768969202000, 'last_traded_price': 5918990, 'subscription_mode_val': 'LTP'}
[I 260121 09:50:02 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2280734, 'exchange_timestamp': 1768969202000, 'last_traded_price': 5919035, 'subscription_mode_val': 'LTP'}
[I 260121 09:50:02 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2280975, 'exchange_timestamp': 1768969203000, 'last_traded_price': 5918935, 'subscription_mode_val': 'LTP'}
[I 260121 09:50:03 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2281428, 'exchange_timestamp': 1768969203000, 'last_traded_price': 5918580, 'subscription_mode_val': 'LTP'}
[I 260121 09:50:03 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2281662, 'exchange_timestamp': 1768969204000, 'last_traded_price': 5918780, 'subscription_mode_val': 'LTP'}
[I 260121 09:50:04 consumers:66] {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 2282074, 'exchange_timestamp': 1768969204000, 'last_traded_price': 5918930, 'subscription_mode_val': 'LTP'}
